weather,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,clear,foggy,foggy,foggy,foggy,foggy,foggy,foggy,foggy,foggy,foggy,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,overcast,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,partly cloudy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,rainy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,snowy,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
timeofday,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,night,night,night,undefined,undefined,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,night,night,night,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,night,night,night,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,night,night,undefined,undefined,undefined,undefined,undefined,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,night,undefined,undefined,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,dawn/dusk,daytime,daytime,daytime,daytime,daytime,daytime,daytime,night,night,night,night,night,night,undefined,undefined,undefined,undefined,undefined,undefined
scene,city street,gas stations,highway,parking lot,residential,tunnel,undefined,city street,gas stations,highway,parking lot,residential,tunnel,undefined,city street,gas stations,highway,parking lot,residential,tunnel,undefined,parking lot,residential,city street,highway,parking lot,residential,city street,highway,residential,city street,highway,residential,city street,highway,parking lot,residential,undefined,city street,gas stations,highway,parking lot,residential,undefined,city street,highway,parking lot,residential,city street,highway,parking lot,residential,undefined,city street,gas stations,highway,parking lot,residential,city street,highway,residential,city street,highway,parking lot,residential,undefined,city street,gas stations,highway,parking lot,residential,tunnel,undefined,city street,highway,parking lot,residential,tunnel,undefined,highway,parking lot,residential,tunnel,undefined,city street,highway,parking lot,residential,city street,gas stations,highway,parking lot,residential,undefined,city street,highway,parking lot,residential,undefined,city street,residential,city street,highway,parking lot,residential,undefined,city street,gas stations,highway,parking lot,residential,tunnel,undefined,city street,highway,parking lot,residential,tunnel,undefined,city street,highway,parking lot,residential,tunnel,undefined
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bike,130,0,9,1,10,0,0,1319,0,134,0,163,0,0,1167,0,45,0,46,0,0,0,0,1,0,0,0,1,0,2,3,0,0,86,2,0,3,0,919,0,43,1,50,0,3,0,0,0,46,1,0,2,0,355,0,21,0,38,2,0,0,22,0,0,1,0,231,0,11,0,15,0,0,96,3,0,6,0,1,0,0,0,0,0,44,0,0,3,265,0,14,0,17,0,120,1,0,1,0,0,0,89,1,0,16,0,1469,0,27,0,108,1,3,31,2,0,9,0,0,0,0,0,0,0,0
bus,248,0,84,0,21,0,0,1866,0,660,15,183,0,4,1367,0,326,6,50,2,10,0,0,2,2,0,0,3,3,1,1,0,1,184,50,0,9,0,1212,0,372,6,97,0,6,3,0,0,80,26,1,5,0,626,0,288,3,48,0,5,0,56,14,0,3,0,493,0,94,0,35,0,2,177,43,0,2,0,4,0,0,0,1,3,83,7,0,6,564,0,92,0,57,0,165,17,0,7,0,0,0,121,9,0,3,0,1449,0,136,5,93,0,3,25,3,0,1,0,6,1,3,0,0,12,1
car,11621,33,7135,229,3138,15,0,74914,47,37286,1139,25913,4,104,145981,30,46353,759,16578,61,1365,11,17,81,63,0,12,104,151,174,417,84,88,7960,3930,76,1616,7,52251,29,21619,876,14715,34,460,210,7,37,3687,2194,29,582,7,26844,5,14915,482,6508,218,219,38,2075,722,6,541,8,16242,7,4708,136,3842,15,55,14030,3517,49,1361,6,276,10,9,8,40,18,3046,435,27,974,18170,19,4067,190,5246,26,15591,1635,74,2534,52,7,11,4107,737,10,881,1,48831,19,7982,250,13040,153,159,1790,661,66,236,62,307,66,62,167,11,328,38
motor,55,0,11,0,14,0,0,692,0,93,2,117,0,1,487,0,63,0,33,0,1,0,0,0,0,0,0,0,0,1,0,1,0,37,5,0,6,0,303,0,29,3,45,0,2,0,0,0,22,10,0,2,0,159,0,32,0,34,2,0,0,5,1,0,1,0,53,0,5,0,21,0,0,35,2,0,2,0,0,0,0,0,0,0,8,0,0,1,51,0,1,0,3,0,29,4,0,5,0,0,0,31,0,0,2,0,395,0,16,1,58,0,0,6,0,0,2,0,0,0,0,0,0,2,0
person,1467,2,95,8,106,0,4,14410,7,933,36,1379,0,12,14643,6,429,28,216,0,14,1,0,5,0,1,0,17,1,3,13,0,0,1356,57,5,79,1,11792,5,496,40,616,2,125,6,0,1,536,31,2,25,0,4873,0,358,4,296,109,9,0,430,2,1,3,4,3823,1,113,2,128,0,3,1208,80,0,26,0,2,0,1,2,0,2,719,8,3,61,5031,3,102,6,238,10,1585,23,4,39,0,12,0,1241,22,0,47,0,20110,0,508,11,671,2,16,297,11,8,11,0,5,15,6,11,0,12,10
rider,77,0,13,1,4,0,0,949,0,141,1,117,0,2,651,0,68,0,24,0,0,0,0,0,0,0,0,0,0,3,1,0,0,58,6,0,8,0,605,0,51,1,42,0,2,0,0,0,51,5,0,2,0,235,0,36,0,31,2,0,0,10,0,0,0,0,110,0,12,0,12,0,0,44,2,0,6,0,0,0,0,0,0,0,16,0,0,1,114,0,4,0,9,0,54,2,0,3,0,0,0,61,1,0,2,0,761,0,34,1,57,1,2,8,0,0,1,0,0,0,0,0,0,2,0
traffic light,3440,8,571,12,280,0,0,20560,1,3009,22,2383,0,27,57648,9,7872,57,1930,7,139,0,1,32,3,0,0,44,23,21,127,11,12,2661,293,5,182,7,16147,7,1800,26,1301,13,158,29,0,0,1144,190,0,93,0,7596,0,1422,28,623,90,46,1,831,90,1,33,0,6418,0,681,7,419,8,12,6328,900,0,193,0,54,0,0,3,1,1,1284,20,2,137,6528,0,419,1,637,5,6931,423,8,389,3,3,0,1478,54,0,86,0,16753,0,913,16,981,2,13,703,124,0,20,4,44,7,19,0,0,17,2
traffic sign,3651,1,2375,28,626,3,0,25694,8,13126,111,4876,0,51,50035,15,21286,88,2557,5,198,0,2,13,16,3,0,39,66,30,98,41,11,2610,1278,3,246,4,19293,2,7848,135,2771,18,121,98,1,2,1273,629,1,119,0,9239,6,5626,45,1295,118,71,2,718,255,0,72,0,5858,2,1851,14,626,1,13,4849,1500,2,197,1,62,1,0,0,2,0,1174,149,5,154,7007,2,1663,36,1062,15,5786,721,14,457,9,0,4,1518,207,3,114,3,19288,2,2899,27,2238,35,37,638,280,10,29,12,52,15,37,16,0,28,9
train,1,0,1,0,1,0,0,24,0,8,0,4,0,0,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,9,0,6,0,0,0,0,0,0,0,1,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
truck,445,0,326,5,62,5,1,4387,2,2249,30,731,0,14,2998,2,1091,21,148,0,16,0,0,1,1,0,0,2,9,4,8,5,0,381,187,1,36,0,2966,1,1341,15,330,5,14,8,0,0,177,111,0,22,1,1627,0,994,6,209,12,7,0,80,42,1,13,0,1156,0,354,8,86,0,1,309,101,0,13,0,4,1,0,0,1,1,150,23,0,18,1517,2,332,7,145,6,393,40,3,37,4,1,1,175,14,1,12,1,3167,0,340,7,258,13,4,74,10,1,0,0,4,5,2,3,0,16,0
